非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
794,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A001,薪酬计提（海外）,"5010010100 员工费用-工资-工资薪酬
5010010201 员工费用-工资-各项补贴-按月发放的住房补贴
5010010202 员工费用-工资-各项补贴-车改补贴
5010010205 员工费用-工资-各项补贴-通讯补贴
5010010204 员工费用-工资-各项补贴-节日补贴
5010010206 员工费用-工资-各项补贴-误餐补贴
5010010298 员工费用-工资-各项补贴-其他补贴","2211001001 应付职工薪酬-应付工资-提取的工资
2211001003 应付职工薪酬-应付工资-各项补贴-按月发放的住房补贴
2211001005 应付职工薪酬-应付工资-各项补贴-车改补贴
2211001004 应付职工薪酬-应付工资-各项补贴-交通补贴
2211001007 应付职工薪酬-应付工资-各项补贴-节日补贴
2211001006 应付职工薪酬-应付工资-各项补贴-通讯补贴
2211001008 应付职工薪酬-应付工资-各项补贴-误餐补贴
2211001009 应付职工薪酬-应付工资-各项补贴-其他补贴",是指企业计提境外业务发生的人员薪酬业务时，包括提取的工资和奖金、各项补贴、福利费等,薪酬计提单,薪酬计提（海外专用）表,,西安中心,"徐蕾
赵峰",正常,,
795,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A002,社会保险费计提-企业部分（海外）,"5010030200 员工费用-社会保险费-基本养老保险费
5010030300 员工费用-社会保险费-基本医疗保险费
5010030100 员工费用-社会保险费-工伤保险费
5010030500 员工费用-社会保险费-失业保险费
5010030400 员工费用-社会保险费-生育保险费
5010020200 员工费用-商业人身险-年金
5010020100 员工费用-商业人身险-补充医疗保险
5010030698 员工费用-社会保险费-其他","2211004001 应付职工薪酬-商业人身险-补充医疗保险
2211004002 应付职工薪酬-商业人身险-年金(补充养老保险）
2211004998 应付职工薪酬-商业人身险-其他
2211003003 应付职工薪酬-社会保险费-工伤保险费
2211003001 应付职工薪酬-社会保险费-基本养老保险费
2211003002 应付职工薪酬-社会保险费-基本医疗保险费
2211003005 应付职工薪酬-社会保险费-生育保险费
2211003004 应付职工薪酬-社会保险费-失业保险费
2211003998 应付职工薪酬-社会保险费-其他",是指企业计提境外业务发生的基本养老保险、基本医疗保险、工伤保险、失业保险、生育保险以及支付给社会保障部门的社会保险费支出,薪酬计提单,社会保险费计提-企业部分（海外专用）表,,西安中心,"徐蕾
赵峰",正常,,
796,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A003,住房公积金计提-企业部分（海外）,5010080000 员工费用-住房公积金,2211005000 应付职工薪酬-住房公积金,是指企业计提境外业务发生的人员住房公积金，根据职工提供服务的受益对象，按受益原则分别记入当期损益或相关资产成本中，包括按工资总额规定比例计提并支付的住房公积金,薪酬计提单,住房公积金计提-企业部分（海外专用）表,,西安中心,"徐蕾
赵峰",正常,,
797,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A004,工会经费计提（海外）,5010130000 员工费用-工会经费,2211007000 应付职工薪酬-工会经费,是企业计提境外业务发生的人员工会经费，根据职工提供服务的受益对象，按受益原则分别记入当期损益或相关资产成本中,薪酬计提单,工会经费计提（海外专用）表,,西安中心,"徐蕾
赵峰",正常,,
798,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A005,职工教育经费计提（海外）,5010070000 员工费用-职工教育经费,2211008000 应付职工薪酬-职工教育经费,是企业计提境外业务发生的职工教育经费，根据职工提供服务的受益对象，按受益原则分别记入当期损益或相关资产成本中,薪酬计提单,职工教育经费计提（海外专用）表,,西安中心,"徐蕾
赵峰",正常,,
799,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A010,其他人员劳务费计提（海外）,"5010150301 员工费用-劳务费-其他人员劳务费-工资
5010150302 员工费用-劳务费-其他人员劳务费-社会保险费-基本养老保险费
5010150303 员工费用-劳务费-其他人员劳务费-社会保险费-基本医疗保险费
5010150304 员工费用-劳务费-其他人员劳务费-社会保险费-工伤保险费
5010150305 员工费用-劳务费-其他人员劳务费-社会保险费-失业保险费
5010150306 员工费用-劳务费-其他人员劳务费-社会保险费-生育保险费
5010150307 员工费用-劳务费-其他人员劳务费-社会保险费-其他
5010150308 员工费用-劳务费-其他人员劳务费-其他","2211011009 应付职工薪酬-劳务费-其他人员劳务费-工资
2211011010 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-基本养老保险费
2211011011 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-基本医疗保险费
2211011012 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-失业保险费
2211011013 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-工伤保险费
2211011014 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-生育保险费
2211011015 应付职工薪酬-劳务费-其他人员劳务费-社会保险费-其他保险费
2211011997 应付职工薪酬-劳务费-其他人员劳务费-其他",用于其他外来不在册人员的劳务费计提,薪酬计提单,其他人员劳务费计提（海外专用）表,,西安中心,刘珩,正常,,
800,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A006,长期应付职工薪酬离职后福利计提,"6603998000 财务费用-其他
5010120000 员工费用-福利费
4501001001 其他综合收益-以后不能重分类进损益-重新设定受益计划净负债或净资产的变动-税前金额
2603001004 长期应付职工薪酬-离职后福利-转出下12个月的福利支出
","2211002002 应付职工薪酬-应付福利费-福利费支出-离退休人员统筹外费用
2603001003 长期应付职工薪酬-离职后福利-重新计量变动
2603001001 长期应付职工薪酬-离职后福利-服务成本/三类人员费用/统筹外养老金（统筹外补贴/医疗福利/其他）
2603001002 长期应付职工薪酬-离职后福利-利息净额",是指企业预期在年度报告期结束后十二个月内不能完全支付的职工薪酬，包括预期在年度报告期结束后十二个月内不能完全支付的离职后福利及其他长期职工福利,薪酬计提单,长期应付职工薪酬离职后福利计提表,,西安中心,"徐蕾
赵峰",正常,,
801,总账业务,薪酬计提,A7_06_0001,薪酬计提,A7A007,长期应付职工薪酬辞退福利计提,"6603998000 财务费用-其他
5010100000 员工费用-辞退福利
2603001004 长期应付职工薪酬-离职后福利-转出下12个月的福利支出
","2211014001 应付职工薪酬-辞退福利-短期辞退福利--三类人员费用(离退休员工）
2603002003 长期应付职工薪酬-辞退福利-重新计量变动
2603002002 长期应付职工薪酬-辞退福利-利息净额",是指企业预期在年度报告期结束后十二个月内不能完全支付的职工薪酬，包括预期在年度报告期结束后十二个月内不能完全支付的辞退福利及其他长期职工福利,薪酬计提单,长期应付职工薪酬辞退福利计提表,,西安中心,"徐蕾
赵峰",正常,,
802,总账业务,薪酬业务,A7_13_0002,社保公积金结算（不支付）,A7J003,社保公积金缴纳(不支付),"应付职工薪酬-社会保险费-基本养老保险费
应付职工薪酬-社会保险费-基本医疗保险费
应付职工薪酬-社会保险费-工伤保险费
应付职工薪酬-社会保险费-失业保险费
应付职工薪酬-社会保险费-生育保险费
应付职工薪酬-商业人身险-补充医疗保险
应付职工薪酬-商业人身险-年金补充养老
应付职工薪酬-住房公积金
其他应付款-应付、暂收职工个人款项-社会保险-基本养老保险费
其他应付款-应付、暂收职工个人款项-社会保险-基本医疗保险费
其他应付款-应付、暂收职工个人款项-社会保险-失业保险费
其他应付款-应付、暂收职工个人款项-商业保险-补充医疗保险
其他应付款-应付、暂收职工个人款项-商业保险-年金（补充养老保险）
其他应付款-应付、暂收职工个人款项-公积金
其他应付款-应付、暂收职工个人款项-商业保险-其他保险费
其他应收款-代垫款项-应向职工收取垫付款项-社会保险
其他应收款-代垫款项-应向职工收取垫付款项-住房公积金
其他应收款-代垫款项-应向职工收取垫付款项-其他","2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1013001000内部存款-内部结算存款",包括核销、暂不支付的的养老保险、医疗保险、失业保险、工伤保险、生育保险、住房公积金等社保公积金业务,社保公积金结算单（不支付）,社保公积金缴纳(不支付)表,,西安中心,陈璇,正常,,
803,总账业务,权益业务,A7_07_0001,实收资本确认,A7B001,增资确认实收资本,1221998000其他应收款-其他,"4001001000 实收资本（股本）-国家资本
4001002001 实收资本（股本）-国有法人资本-国有独资企业
4001002002 实收资本（股本）-国有法人资本-国有控股企业
4001002003 实收资本（股本）-国有法人资本-国有实际控制企业
4001002004 实收资本（股本）-国有法人资本-事业单位
4001002998 实收资本（股本）-国有法人资本-其他
4001003000 实收资本（股本）-集体资本
4001004001 实收资本（股本）-民营资本-民营企业
4002001000资本公积-资本（股本）溢价",是指企业应按照企业章程、合同、协议或有关规定，根据实际收到的货币、实物及无形资产来确认投入资本,实收资本确认单,增资确认实收资本表,,成都中心,彭宇、周才志,正常,,
